Title,Release_Year,Duration,Collection,Genre,Director,Rating,Votes
Sister Act 2: Back in the Habit,1993,107,57.32,"Comedy, Family, Music",Bill Duke,5.6,"53,909"
Daybreakers,2009,98,30.1,"Action, Horror, Sci-Fi",Michael Spierig,6.4,"128,888"
Æon Flux,2005,93,25.86,"Action, Adventure, Sci-Fi",Karyn Kusama,5.4,"128,412"
The Haunted Mansion,2003,99,75.85,"Comedy, Family, Fantasy",Rob Minkoff,5.1,"48,712"
Elektra,2005,97,24.41,"Action, Adventure, Crime",Rob Bowman,4.7,"93,074"
The Simpsons Movie,2007,87,183.14,"Animation, Adventure, Comedy",David Silverman,7.3,"328,214"
The Ruins,2008,90,17.43,Horror,Carter Smith,5.9,"75,100"
Clerks II,2006,97,24.15,Comedy,Kevin Smith,7.3,"134,834"
Shaft,2000,99,70.33,"Action, Crime, Thriller",John Singleton,6,"77,228"
Day of the Dead,1985,101,5.8,"Horror, Thriller",George A. Romero,7.1,"68,927"
Over the Hedge,2006,83,155.02,"Animation, Adventure, Comedy",Tim Johnson,6.7,"174,229"
RoboCop 3,1993,104,10.7,"Action, Crime, Sci-Fi",Fred Dekker,4.1,"50,486"
Next,2007,96,18.21,"Action, Sci-Fi, Thriller",Lee Tamahori,6.2,"158,389"
Bad Boys II,2003,147,138.61,"Action, Comedy, Crime",Michael Bay,6.6,"249,271"
The Sweetest Thing,2002,84,24.72,"Comedy, Romance",Roger Kumble,5.1,"59,056"
Spy Kids 2: Island of Lost Dreams,2002,100,85.85,"Action, Adventure, Comedy",Robert Rodriguez,5.2,"67,555"
The Skeleton Key,2005,104,47.81,"Drama, Horror, Mystery",Iain Softley,6.5,"114,373"
Gremlins 2: The New Batch,1990,106,41.48,"Comedy, Fantasy, Horror",Joe Dante,6.4,"103,011"
Underworld: Rise of the Lycans,2009,92,45.8,"Action, Fantasy, Thriller",Patrick Tatopoulos,6.5,"159,849"
The Fox and the Hound,1981,83,63.46,"Animation, Adventure, Drama",Ted Berman,7.2,"92,927"
Baise-moi,2000,77,0.01,"Crime, Drama, Thriller",Virginie Despentes,4.4,"17,755"
The Green Hornet,2011,119,98.78,"Action, Comedy, Crime",Michel Gondry,5.8,"160,521"
Bowfinger,1999,97,66.38,Comedy,Frank Oz,6.5,"70,753"
Madagascar: Escape 2 Africa,2008,89,180.01,"Animation, Adventure, Comedy",Eric Darnell,6.6,"225,680"
Escape from Alcatraz,1979,112,43,"Action, Biography, Crime",Don Siegel,7.6,"132,883"
Evan Almighty,2007,96,100.46,"Comedy, Family, Fantasy",Tom Shadyac,5.4,"147,385"
Antz,1998,83,90.76,"Animation, Adventure, Comedy",Eric Darnell,6.6,"154,890"
Bride & Prejudice,2004,122,6.6,"Comedy, Drama, Musical",Gurinder Chadha,6.2,"20,887"
Deuce Bigalow: European Gigolo,2005,83,22.26,Comedy,Mike Bigelow,4.6,"51,030"
The Crazies,2010,101,39.12,"Adventure, Horror",Breck Eisner,6.5,"120,951"
